ID,revolutions,humidity,vibration
934,90.144,73.696,18.93
935,90.14,73.695,18.93
937,90.132,73.695,18.94
938,90.128,73.694,18.94
940,90.12,73.694,18.94
941,90.117,73.693,18.94
942,90.113,73.693,18.94
943,90.109,73.693,18.94
944,90.105,73.692,18.94
945,90.101,73.692,18.94
946,90.097,73.692,18.95
947,90.093,73.691,18.95
948,90.09,73.691,18.95
949,90.086,73.691,18.95
950,90.082,73.691,18.95
951,90.078,73.69,18.95
952,90.074,73.69,18.95
953,90.07,73.69,18.95
955,90.063,73.689,18.95
957,90.055,73.688,18.96
959,90.047,73.688,18.96
961,90.039,73.687,18.96
963,90.032,73.686,18.96
964,90.028,73.686,18.96
966,90.02,73.685,18.97
968,90.012,73.685,18.97
969,90.009,73.684,18.97
970,90.005,73.684,18.97
971,90.001,73.684,18.97
972,89.997,73.683,18.97
974,89.989,73.683,18.97
975,89.985,73.682,18.97
976,89.982,73.682,18.98
977,89.978,73.682,18.98
978,89.974,73.681,18.98
980,89.966,73.681,18.98
982,89.958,73.68,18.98
985,89.947,73.679,18.98
986,89.943,73.679,18.99
988,89.935,73.678,18.99
989,89.931,73.678,18.99
990,89.927,73.678,18.99
992,89.92,73.677,18.99
993,89.916,73.677,18.99
994,89.912,73.676,18.99
995,89.908,73.676,18.99
996,89.904,73.676,19.0
997,89.9,73.675,19.0
998,89.897,73.675,19.0
999,89.893,73.675,19.0
1001,89.885,73.674,19.0
1002,89.881,73.674,19.0
1003,89.877,73.673,19.0
1004,89.873,73.673,19.0
1005,89.87,73.673,19.0
1006,89.866,73.672,19.01
1007,89.862,73.672,19.01
1008,89.858,73.672,19.01
1009,89.854,73.671,19.01
1010,89.85,73.671,19.01
1013,89.839,73.67,19.01
1014,89.835,73.67,19.01
1016,89.827,73.669,19.02
1017,89.823,73.669,19.02
1018,89.819,73.668,19.02
1019,89.816,73.668,19.02
1020,89.812,73.668,19.02
1021,89.808,73.668,19.0
1023,89.8,73.667,19.02
1024,89.796,73.667,19.02
1025,89.792,73.666,19.02
1026,89.789,73.666,19.03
1027,89.785,73.666,19.03
1028,89.781,73.665,19.03
1030,89.773,73.665,19.03
1031,89.769,73.664,19.0
1032,89.765,73.664,19.03
1033,89.762,73.664,19.03
1034,89.758,73.663,19.03
1035,89.754,73.663,19.03
1037,89.746,73.662,19.04
1040,89.735,73.661,19.04
1041,89.731,73.661,19.0
1043,89.723,73.66,19.04
1045,89.715,73.66,19.04
1046,89.711,73.659,19.05
1047,89.708,73.659,19.05
1049,89.7,73.658,19.05
1050,89.696,73.658,19.05
1051,89.692,73.658,19.0
1052,89.688,73.657,19.05
1054,89.681,73.657,19.05
1055,89.677,73.657,19.05
1056,89.673,73.656,19.06
1057,89.669,73.656,19.06
1058,89.665,73.656,19.06
1059,89.661,73.655,19.06
1061,89.654,73.655,19.0
1062,89.65,73.654,19.06
1063,89.646,73.654,19.06
1064,89.642,73.654,19.06
1065,89.638,73.653,19.06
1066,89.634,73.653,19.07
1069,89.623,73.652,19.07
1070,89.619,73.652,19.07
1071,89.615,73.651,19.0
1072,89.611,73.651,19.07
1073,89.607,73.651,19.07
1076,89.596,73.65,19.08
1077,89.592,73.649,19.08
1078,89.588,73.649,19.08
1079,89.584,73.649,19.08
1080,89.58,73.648,19.08
1082,89.573,73.648,19.08
1083,89.569,73.647,19.08
1084,89.565,73.647,19.08
1085,89.561,73.647,19.08
1086,89.557,73.646,19.09
1087,89.553,73.646,19.09
1088,89.549,73.646,19.09
1089,89.545,73.645,19.09
1090,89.542,73.645,19.09
1091,89.538,73.645,19.0
1092,89.534,73.645,19.09
1094,89.526,73.644,19.09
1095,89.522,73.644,19.09
1096,89.518,73.643,19.1
1097,89.515,73.643,19.1
1099,89.507,73.642,19.1
1100,89.503,73.642,19.1
1101,89.499,73.642,19.0
1102,89.495,73.641,19.1
1103,89.491,73.641,19.1
1104,89.488,73.641,19.1
1105,89.484,73.64,19.1
1106,89.48,73.64,19.11
1107,89.476,73.64,19.11
1108,89.472,73.639,19.11
1109,89.468,73.639,19.11
1110,89.464,73.639,19.11
1112,89.457,73.638,19.11
1113,89.453,73.638,19.11
1114,89.449,73.637,19.11
1116,89.441,73.637,19.12
1117,89.437,73.636,19.12
1118,89.434,73.636,19.12
1119,89.43,73.636,19.12
1120,89.426,73.635,19.12
1121,89.422,73.635,19.0
1122,89.418,73.635,19.12
1124,89.41,73.634,19.12
1125,89.407,73.634,19.12
1126,89.403,73.633,19.13
1127,89.399,73.633,19.13
1129,89.391,73.633,19.13
1130,89.387,73.632,19.13
1131,89.383,73.632,19.13
1132,89.38,73.632,19.13
1133,89.376,73.631,19.13
1134,89.372,73.631,19.13
1135,89.368,73.631,19.13
1136,89.364,73.63,19.14
1137,89.36,73.63,19.14
1138,89.356,73.63,19.14
1139,89.353,73.629,19.14
1141,89.345,73.629,19.14
1143,89.337,73.628,19.14
1144,89.333,73.628,19.14
1146,89.326,73.627,19.15
1147,89.322,73.627,19.15
1148,89.318,73.626,19.15
1149,89.314,73.626,19.15
1150,89.31,73.626,19.15
1151,89.306,73.625,19.15
1152,89.302,73.625,19.15
1153,89.299,73.625,19.15
1154,89.295,73.624,19.15
1156,89.287,73.624,19.16
1159,89.275,73.623,19.16
1160,89.272,73.622,19.16
1161,89.268,73.622,19.16
1164,89.256,73.621,19.16
